number,character,quote
1253,hp,"No, they separated some years ago. Ascher’s a German. He was a waiter at one time, but he took to drink and gradually became unemployable. His wife went into service for a bit. Her last place was as cook-housekeeper to an old lady, Miss Rose. She allowed her husband so much out of her wages to keep himself, but he was always getting drunk and coming round and making scenes at the places where she was employed. That’s why she took the post with Miss Rose at The Grange. It’s three miles out of Andover, dead in the country. He couldn’t get at her there so well. When Miss Rose died, she left Mrs. Ascher a small legacy, and the woman started this tobacco and newsagent business—quite a tiny place—just cheap cigarettes and a few newspapers—that sort of thing. She just about managed to keep going. Ascher used to come round and abuse her now and again and she used to give him a bit to get rid of him. She allowed him fifteen shillings a week regular."
1254,hp,You are quite wrong. He admits the fact.
1255,hp,Did you see anyone going away from you down the corridor in the other direction?
1256,hp,"But my sister-in-law got it into her head to be—well—jealous, I suppose. Not that she ever showed anything. But after Car’s death, when there was a question of Miss Grey staying on—well, Charlotte cut up rough. Of course, it’s partly the illness and the morphia and all that—Nurse Capstick says so—she says we mustn’t blame Charlotte for getting these ideas into her head—"
1257,hp,"Yes, he is not happy, our Monsieur Pennington."
1258,sh,"I will lay an account of the case before you in its due
     order, showing you the various points which guided me in my decision.
     Pray interrupt me if there is any inference which is not perfectly
     clear to you."
1259,hp,I wish I could make you believe that.
1260,hp,"But yes, look at the line of the jaw, the bones, the moulding of the head."
1261,mm,"Everybody is very much alike, really. But fortunately, perhaps, they don’t realize it."
1262,mm,"He used to entertain there, I think, sometimes. Business friends, mostly you know, or people from abroad. I don’t think any of us ever visited him there. He nearly always entertained us in London on the rare occasions when we happened to meet."
1263,sh,"I have not yet described to you the most singular part. About six
     years ago--to be exact, upon the 4th of May, 1882--an advertisement
     appeared in the Times asking for the address of Miss Mary Morstan and
     stating that it would be to her advantage to come forward. There was
     no name or address appended. I had at that time just entered the
     family of Mrs. Cecil Forrester in the capacity of governess. By her
     advice I published my address in the advertisement column. The same
     day there arrived through the post a small card-board box addressed
     to me, which I found to contain a very large and lustrous pearl. No
     word of writing was enclosed. Since then every year upon the same
     date there has always appeared a similar box, containing a similar
     pearl, without any clue as to the sender. They have been pronounced
     by an expert to be of a rare variety and of considerable value. You
     can see for yourselves that they are very handsome."
1264,sh,"I join in it because there is no other way in the world by which
     justice can be gained. What does the law of England care for the
     rivers of blood shed years ago in San Pedro, or for the shipload of
     treasure which this man has stolen? To you they are like crimes
     committed in some other planet. But we know. We have learned the
     truth in sorrow and in suffering. To us there is no fiend in hell
     like Juan Murillo, and no peace in life while his victims still cry
     for vengeance."
1265,mm,"That’s very definite. Colonel Protheroe had made arrangements for a man to come down from London on Monday—tomorrow—to make a full valuation. Owing to the Colonel’s death, the matter has been put off."
1266,mm,"Tried to make a regular story of it. ‘He said,’ ‘she said,’ ‘the girl thought,’ etc. Facts of the story are true."
1267,hp,"There’s no reason why women shouldn’t behave like rational beings,"
1268,mm,"I wonder if there is anything between young Lawrence Redding and Lettice Protheroe,"
1269,sh,"There is no object in our following them,"
1270,mm,I see what you mean … A life of whatever length is a complete experience. But don’t you—
1271,hp,"And the
penalty for murder is not a pleasant one."
1272,mm,"You are worried about your sister, about Anthea?"
1273,mm,"and there are always people. People whom one wishes one could do a little something for but one’s own funds do not admit of it. And then I will not pretend that there are not pleasures and desires—things that one has not been able to indulge in or to afford—I think Mr. Rafiel knew quite well that to be able to do so, quite unexpectedly, would give an elderly person a great deal of pleasure."
1274,mm,"of writing a name—the name—on a piece of paper and giving it to you. Then if, on investigation, you decided that the—the person—is not involved in any way—well, I shall have been quite wrong."
1275,sh,"You had best take Baker Street as we pass,"
1276,hp,She’s handsome—yes. I think—she looks rather a beast!
1277,hp,She prefers that pompous old bore to me?
1278,hp,"In fact, he’s just the person we are looking for?"
1279,mm,"Fallowfield is situated not very far from here. Sixteen miles, I think. So this is Elizabeth Temple’s part of the world, a part she knows well with people in it that she also might know well."
1280,sh,"I am accustomed to have mystery at one
     end of my cases, but to have it at both ends is too confusing. I
     fear, Sir James, that I must decline to act."
1281,hp,Not in the least. I puzzled and puzzled over it but I couldn’t even get a glimmering.
1282,hp,"I’m perfectly innocent! It’s all a mistake. Why, look at that second crime—that Bexhill one. I was playing dominoes at Eastbourne. You’ve got to admit that!"
1283,sh,"I shall be happy to look into it and to give you such advice as I
     can,"
1284,hp,"There is a lot in what you say, madame,"
1285,sh,"answered my companion, looking at her with a
     questioning and rather startled gaze."
1286,mm,"that I went into the post office here and I explained rather scattily and—well, like the old pussy I am—that I had very foolishly asked someone to take a parcel for me and post it, and I had put the wrong address on it. I was very upset by this. The postmistress very kindly said she remembered the parcel, but the address on it was not the one I was mentioning. It was this one, the one I have just given to you. I explained that I had been very foolish and written the wrong address on it, confusing it with another one I sometimes send things to. She told me it was too late to do anything about it now because the parcel, naturally, had gone off. I said it was quite all right, that I would send a letter to the particular charity to which the parcel had been sent, and explain that it had been addressed to them by mistake. Would they very kindly forward it on to the charity that I had meant to receive it."
1287,mm,Mr. Dennis is not with you this morning?
1288,hp,Now what do I see? I see half the courtyard—and the archway—and the doors of the drawing office and the photographic room and the laboratory. Was there anyone in the courtyard?
1289,mm,"I saw her talking to Footit, the butcher, as I passed. Henry Footit was run over yesterday—that was his dog. One of those smooth-haired fox terriers, rather stout and quarrelsome, that butchers always seem to have."
1290,hp,"I am sure of it! But even then, what does that tell us? What did Kenneth Marshall feel about his wife?"
1291,sh,"You place me in a most serious dilemma, for I am perfectly
     certain that you would be proud to take over the case if I could give
     you the facts, and yet a promise forbids me from revealing them all.
     May I, at least, lay all that I can before you?"
1292,sh,"For answer Holmes pushed back the frill of black lace which fringed
     the hand that lay upon our visitor's knee. Five little livid spots,
     the marks of four fingers and a thumb, were printed upon the white
     wrist."
1293,sh,I've come over this little matter of Colonel Barclay's death.
1294,hp,What about this belt she was strangled with?
1295,sh,"The man who entered was a sturdy, middle-sized fellow, some thirty
     years of age, clean-shaven, and sallow-skinned, with a bland,
     insinuating manner, and a pair of wonderfully sharp and penetrating
     grey eyes. He shot a questioning glance at each of us, placed his
     shiny top-hat upon the sideboard, and with a slight bow sidled down
     into the nearest chair."
1296,hp,"You know, there is a good deal in what you have just said."
1297,hp,"I have not the least idea where Ralph Paton
is at the present moment."
1298,hp,"I guess I’ll go right to bed and read,"
1299,hp,"You do not understand, Monsieur. I have been very fortunate in my profession. I have made enough money to satisfy both my needs and my caprices. I take now only such cases as—interest me."
1300,mm,"What do you mean, you miserable, shrivelled up old woman?"
1301,mm,"I think it is really quite natural. They have a rather exact plan, I imagine."
1302,hp,Because we heard that a handkerchief had been found with the initial H on it. We talked the matter over together before we came to be interviewed. I pointed out to Helena that if it were seen that her Christian name began with an H she would immediately be subjected to much more rigorous questioning. And the thing was so simple—to alter Helena to Elena was easily done.
1303,hp,"I don’t think we need detain the doctor any longer, eh? Thank you, Doctor."
1304,sh,"Mr. Henry Wood, late of India, I believe,"
1305,mm,"That’s the maddening part of it. He didn’t. He’d been unconscious for somedays, but he rallied before he died. He looked at us both and chuckled—a faint, weak little chuckle. He said, ‘You’ll be all right, my pretty pair of doves.’ And then he tapped his eye—his right eye—and winked at us. And then—he died. Poor old Uncle Mathew."
1306,hp,"Oh, I dare say she was innocent. Nobody really knows! But there are plenty of women to marry in the world without going out of your way to marry one who’s stood her trial for murder."
1307,sh,"It at least bears out the theory that it is on the side of the
     Lower Gill Moor that we must hope for results. The police have really
     done nothing locally, save the arrest of these gipsies. Look here,
     Watson! There is a watercourse across the moor. You see it marked
     here in the map. In some parts it widens into a morass. This is
     particularly so in the region between Holdernesse Hall and the
     school. It is vain to look elsewhere for tracks in this dry weather;
     but at that point there is certainly a chance of some record being
     left. I will call you early to-morrow morning, and you and I will try
     if we can throw some little light upon the mystery."
1308,hp,"See you, when I know that any one is hiding things from me,
I suspect that the thing hidden may be something very bad indeed. You
have done well."
1309,hp,"See you, I recognize my own weaknesses. It has been said of me that I like to make a case difficult. This solution that you put to me—it is too simple, too easy. I cannot feel that it really happened. And yet, that may be the sheer prejudice on my part."
1310,sh,"said he.

     I heard a click of steel and a bellow like an enraged bull. The next
     instant Holmes and the seaman were rolling on the ground together. He
     was a man of such gigantic strength that, even with the handcuffs
     which Holmes had so deftly fastened upon his wrists, he would have
     very quickly overpowered my friend had Hopkins and I not rushed to
     his rescue. Only when I pressed the cold muzzle of the revolver to
     his temple did he at last understand that resistance was vain. We
     lashed his ankles with cord and rose breathless from the struggle."
1311,sh,I gazed with interest and some surprise upon the portrait.
1312,sh,"said she, smoothing it out upon the
     counter."
1313,sh,"I am no official agent. I understand that it was your daughter who
     required my presence here, and I am acting in her interests. Young
     McCarthy must be got off, however."
1314,mm,She sent over a very incoherent note—all spidery and underlined. I couldn’t read most of it. Apparently she can’t leave home herself. Hurry up and go across and see her and find out what it is. I’ve got my old women coming in two minutes or I’d come myself. I do hate old women—they tell you about their bad legs and sometimes insist on showing them to you. What luck that the inquest is this afternoon! You won’t have to go and watch the Boys’ Club Cricket Match.
1315,mm,"No, no, I didn’t mean that. But either you know too much—which might be dangerous … I think I am going to stay here to keep an eye on you."
1316,hp,Does Miss Van Schuyler suffer at all from deafness?
1317,mm,"I’m afraid there is not very much to see,"
1318,hp,It is one little question that I would like to ask you.
1319,hp,What do you really think of the stuff?
1320,sh,"it has been a pretty business for me! I have
     lost my thumb and I have lost a fifty-guinea fee, and what have I
     gained?"
1321,sh,"Oh, no, sir.  He was a little gentleman, with glasses, thin in the
     face, but very pleasant in his ways, for he was laughing all the time
     that he was talking."
1322,hp,"I read my Dickens. M. Harris, he will not arrive."
1323,sh,"Should I be guilty of
     a liberty if I lit a cigar and placed it between your lips?"
1324,hp,"This stranger hanging about, he may be important—he may not. At any rate he must be found. Let us continue our inquiry."
1325,mm,You mean it was someone pretending to be her? But surely when you touched her—
1326,mm,Don’t you think so too? Don’t you feel a shadow here?
1327,sh,"Well, Watson, what do you think of it?"
1328,hp,"it was a little difficult for
Mademoiselle Flora. She is told simply that the police are here and
that there has been a robbery. Naturally she jumps to the conclusion
that the theft of the money has been discovered. Her one idea is to
stick to her story. When she learns that her uncle is dead she is
panic-stricken. Young women do not faint nowadays, monsieur, without
considerable provocation. _Eh bien!_ there it is. She is bound to stick
to her story, or else confess everything. And a young and pretty girl
does not like to admit that she is a thief—especially before those
whose esteem she is anxious to retain."
1329,mm,"I’m really very, very sorry. Please tell your sister that I didn’t know. I had no idea."
1330,hp,"Not me! Why, I was a stranger. I’d only just come."
1331,sh,"and I am
     sure Amberley himself never observed it. You'll get results,
     Inspector, by always putting yourself in the other fellow's place,
     and thinking what you would do yourself. It takes some imagination,
     but it pays. Now, we will suppose that you were shut up in this
     little room, had not two minutes to live, but wanted to get even with
     the fiend who was probably mocking at you from the other side of the
     door. What would you do?"
1332,hp,"It might be a question of the influence of mind over body,"
1333,sh,"But you have read the evidence. You have formed some conclusion? Do
     you not see some loophole, some flaw? Do you not yourself think that
     he is innocent?"
1334,mm,"Nothing. It’s only the awful thought that, but for Miss Marple, we might have burned these letters in a decent, gentlemanly way!"
1335,hp,"Why, yes, I appreciate that point. Enemy or enemies—it doesn’t matter. What does matter is my safety."
1336,sh,"When a
     crisis comes, as it will do, I will direct how you shall act. I
     suppose that by Saturday all might be ready?"
1337,hp,"And anyway, Mrs. Redfern could never do a thing like that—kill anybody. She isn’t—she isn’t violent, if you know what I mean."
1338,sh,"It was evidently taken by a snap-shot from a small camera. It
     represented an alert, sharp-featured simian man with thick eyebrows,
     and a very peculiar projection of the lower part of the face like the
     muzzle of a baboon."
1339,mm,No indeed. I expect the Coroner’ll mention it today.
1340,mm,"having spent nearly all my life amongst the young, look at life as a period in time complete in itself. What did T. S. Eliot say: The moment of the rose and the moment of the yew tree are of equal duration."
1341,sh,"in the insistent tone of one who
     awakens a sleeper."
1342,mm,"Well, it’s a lovely day, it is. They’ll have it nice for going to the Bonaventure Rocks. It’s just as well you’re not doing it. It’s cruel hard on the legs, it is."
1343,sh,"he reported, after a short examination
     of the grass bed,"
1344,hp,The murderer is with us—on the train now….
1345,sh,"If criminals would always schedule
     their movements like railway trains, it would certainly be more
     convenient for all of us. As to what it is we--Well, that's what we
     are watching for!"
1346,mm,"Life is, after all, very much the same everywhere,"
1347,sh,"You are perfectly right. Let it play!
     These modern gramophones are a remarkable invention."
1348,mm,when you said that if you were a certain person you would not have trusted to fright?
1349,hp,You didn’t hear him snore after you had had the scare about a man being in your compartment?
1350,sh,"He tried to stagger to his feet; but he was still ghastly pale and
     trembling in every limb. We helped him to a rock, where he sat
     shivering with his face buried in his hands."
1351,sh,"At present the scandal is
     confined to our own household. It is safe with us. If it gets beyond
     these walls it will never stop. Consider his position at the
     university, his European reputation, the feelings of his daughter."
1352,mm,Was it a man or a woman they saw?
1353,hp,The hands of the watch pointed to 1:15—the exact time when the intruder actually left the scene of the crime.
1354,sh,"Not very prepossessing externally, as you can see, but a heart of
     gold, and devoted to the child."
1355,sh,"that I may be of more use at Lamberley than
     here. It is eminently a case for personal investigation. If the lady
     remains in her room, our presence could not annoy or inconvenience
     her. Of course, we would stay at the inn."
1356,mm,"No. As it happens my friend and I were wrong. Nothing in the least exciting happened to the Spanish beauty. She married a clerk in a shipping office, and by the time I left the island she had had five children and was getting very fat."
1357,hp,Do you know anything about your mistress’s pearls?
1358,hp,you may not want the truth but—ma foi—you can speak it!
1359,mm,Mr. Rafiel has done me very proud! as one used to say.
1360,mm,There’s no reason really why one should not enjoy the local sights when one can.
1361,hp,Then do not repeat to yourself the imbecilities. Just make up your mind not to hate your next stepmother.
1362,hp,"You do well. Method and order, they are everything,"
1363,sh,"You take me out of my province there,"
1364,mm,"but we’ve got to find the money, haven’t we? You mustn’t give up, Mr. Rossiter. ‘If at first you don’t succeed, try, try, try again.’"
1365,mm,"And then the girl finds she is pregnant,"
1366,hp,"I am Helena Goldenberg, the younger sister of Mrs. Armstrong."
1367,hp,"Well, no matter. I have still my little
idea."
1368,hp,"Not yet do you appreciate
Hercule Poirot at his true worth."
1369,mm,But it doesn’t seem to me to throw any light upon our present problem.
1370,sh,"Is this cove trying to be funny, or what? I'm not in the funny mood
     myself."
1371,mm,that is explained now. It was written at six thirty five and another hand—the murderer’s—put the misleading 6:20 at the top. I think that is clearly established.
1372,mm,I don’t know whether you like sitting rather high? So many people do.
1373,mm,"I incline to suspicion of the city gentleman. He’d know the sort of telegram to get the lady out of the way, and he could manage the rest easily enough with the help of a new lady friend. Nobody seems to have thought of asking him for an alibi."
1374,hp,"Ah, the sea, it does not agree with you?"
1375,mm,"I’m not quite sure of it. You are a strong woman, a great deal stronger than I am."
1376,hp,"I need hardly ask you the number of your compartment,"
1377,sh,"He tore off a strip of the blotting-paper and turned towards us the
     following hieroglyphic:

     [ Picture: Several unreadable scrawls on paper ]

     Cyril Overton was much excited."
1378,mm,"You see, he really kept the money somewhere else—behind some volumes of sermons in the library, as a matter of fact. He said people never took a book of that kind out of the shelf!"
1379,hp,"Yes, she is beautiful. But it is not beauty that counts in the end. It is not beauty that makes every head (except one) turn on the beach to look at her."
1380,sh,"I perceive that you
     are not yourself a member of the family."
1381,sh,"At least, we may take counsel how far we can
     minimize this hideous scandal."
1382,mm,"They must have been in it together, though,"
1383,hp,"And unluckily I didn’t hear anything at all. I can’t think why not. After all, Linnet’s cabin is only one away from mine. I should think I’d have been bound to hear the shot. Go along, Tim; they’re waiting for you."
1384,mm,"I got even with Geoffrey. I was too clever for Geoffrey. He was going to put me away, was he? Have me shut up in an asylum? I heard them talking about it. Mabel is a good girl—Mabel stuck up for me, but I knew she wouldn’t be able to stand up against Geoffrey. In the end he would have his own way; he always did. But I settled him—I settled my kind, loving son! Ha, ha! I crept down in the night. It was quite easy. Brewster was away. My dear son was asleep; he had a glass of water by the side of his bed; he always woke up in the middle of the night and drank it off. I poured it away—ha, ha!—and I emptied the bottle of eyedrops into the glass. He would wake up and swill it down before he knew what it was. There was only a tablespoonful of it—quite enough, quite enough. And so he did! They came to me in the morning and broke it to me very gently. They were afraid it would upset me. Ha! Ha! Ha! Ha! Ha!"
1385,mm,"because Mrs. Pritchard might have recognized her in spite of the disguise—though of course if she had, the nurse could have pretended it was a joke."
1386,mm,You think that because I have lived in this out-of-the-way spot all my life I am not likely to have had any very interesting experiences.
1387,sh,"The Thursday brought us another letter from our client.

     You will not be surprised, Mr. Holmes [said she] to hear that I am
     leaving Mr. Carruthers's employment. Even the high pay cannot
     reconcile me to the discomforts of my situation. On Saturday I come
     up to town and I do not intend to return. Mr. Carruthers has got a
     trap, and so the dangers of the lonely road, if there ever were any
     dangers, are now over.
     As to the special cause of my leaving, it is not merely the strained
     situation with Mr. Carruthers, but it is the reappearance of that
     odious man, Mr. Woodley. He was always hideous, but he looks more
     awful than ever now, for he appears to have had an accident and he is
     much disfigured. I saw him out of the window, but I am glad to say I
     did not meet him. He had a long talk with Mr. Carruthers, who seemed
     much excited afterwards. Woodley must be staying in the
     neighbourhood, for he did not sleep here, and yet I caught a glimpse
     of him again this morning slinking about in the shrubbery. I would
     sooner have a savage wild animal loose about the place. I loathe and
     fear him more than I can say. How can Mr. Carruthers endure such a
     creature for a moment? However, all my troubles will be over on
     Saturday."
1388,mm,"I haven’t told you that yet. The day was fixed. The time, the hour and the place, and I waited. Waited for a bride and bridegroom who didn’t come, who sent no word, no excuse, nothing. I didn’t know why! I never have known why. It still seems to me unbelievable. Unbelievable, I mean, not that they did not come, that could be explicable easily enough, but that they sent no word. Some scrawled line of writing. And that is why I wondered and hoped that Elizabeth Temple, before she died, might have told you something. Given you some message perhaps for me. If she knew or had any idea that she was dying, she might have wanted to get a message to me."
1389,hp,"You’ll excuse me, sir, but the elderly American lady is in what I might describe as a state, sir. She’s saying she knows all about the murderer. She’s in a very excitable condition, sir."
1390,hp,that I shall have to give my second solution. But do not abandon this one too abruptly. You may agree with it later.
1391,mm,I’m sure it was nothing that she said—
1392,sh,"though it is
     some years since he used my services in some trifling matter."
1393,hp,I suppose the stewardess is in attendance to see I don’t hang myself or swallow a miraculous capsule of prussic acid as people always do in books. You needn’t be afraid! I shan’t do that. It will be easier for Simon if I’m standing by.
1394,hp,"is a mere précis of the evidence we heard, arranged that way for convenience."
1395,sh,"Yes, and no later than to-day. That is why I have come to you.  This
     morning I received this letter, which you will perhaps read for
     yourself."
1396,sh,"I am so glad that you have come. I have driven down to
     tell you so. I know that James didn't do it. I know it, and I want
     you to start upon your work knowing it, too. Never let yourself doubt
     upon that point. We have known each other since we were little
     children, and I know his faults as no one else does; but he is too
     tender-hearted to hurt a fly. Such a charge is absurd to anyone who
     really knows him."
1397,mm,"but I took the precaution of verifying that there was a Mrs. Greene and a Church Social. One can’t be too careful, you know."
1398,sh,"Might we
     make the acquaintance of the baby?"
1399,hp,Not at all. I hope you’ll sleep well and that your head will be better in the morning.
1400,mm,I was just thinking about our District Nurse. A most difficult problem.
1401,sh,"There was no difficulty at all about the appointment,"
1402,sh,"He scribbled three or four words upon a sheet of his notebook, folded
     it, and handed it to the man."
1403,sh,"That will do, Mr. Wilson. I shall be happy to give you an opinion
     upon the subject in the course of a day or two. To-day is Saturday,
     and I hope that by Monday we may come to a conclusion."
1404,sh,Someone has got ahead of us this time.
1405,hp,Are you going to tackle her about them?
1406,mm,"There’s been some fuss about that young artist, Mr. Redding, hasn’t there?"
1407,hp,What are you getting at? That Jackie stole the pearls? She didn’t. I’ll swear she didn’t. Jackie’s as straight as a die. The mere idea of her being a thief is ridiculous—absolutely ridiculous.
1408,hp,"Tscha, tscha, you are not a child! You are an educated woman. You must look at things sensibly."
1409,mm,"Ernie always says to me, ‘Everything what’s good you learned from that Miss Marple of yours that you were in service with,’ and I’m sure I’m always glad to oblige you, miss."
1410,sh,"We descended and started off once
     more for Briony Lodge."
1411,mm,"Oh, yes, ma’am. She’s always one for a change, Gladdie is. She never seems to get really settled, if you know what I mean. But she’s always been the one to give the notice, you see!"
1412,mm,"Mr. Rafiel would have liked me to have fun,"
1413,mm,Very curious indeed. But the note seems to me even more curious still. I mean—
1414,hp,I know a bit too much about her.
1415,sh,"and then came several sheets of numbers. Another
     heading was Argentine, another Costa Rica, and another San Paulo,
     each with pages of signs and figures after it."
1416,sh,"If I may put it in a nutshell, Mr. Merton, I should say it was all
     up."
1417,hp,"It is the simple truth. Have you any idea, Mr. Lane, whose hands those were?"
1418,sh,"My father is dead, Mr. Holmes. He was James Smith, who conducted the
     orchestra at the old Imperial Theatre. My mother and I were left
     without a relation in the world except one uncle, Ralph Smith, who
     went to Africa twenty-five years ago, and we have never had a word
     from him since. When father died we were left very poor, but one day
     we were told that there was an advertisement in the Times inquiring
     for our whereabouts. You can imagine how excited we were, for we
     thought that someone had left us a fortune. We went at once to the
     lawyer whose name was given in the paper. There we met two gentlemen,
     Mr. Carruthers and Mr. Woodley, who were home on a visit from South
     Africa. They said that my uncle was a friend of theirs, that he died
     some months before in great poverty in Johannesburg, and that he had
     asked them with his last breath to hunt up his relations and see that
     they were in no want. It seemed strange to us that Uncle Ralph, who
     took no notice of us when he was alive, should be so careful to look
     after us when he was dead; but Mr. Carruthers explained that the
     reason was that my uncle had just heard of the death of his brother,
     and so felt responsible for our fate."
1419,mm,I’m sorry to hear that Joanna is under the weather this morning.
1420,hp,"I’ve no doubt that Crome is a very efficient officer, but, frankly, he puts my back up. That air of his of knowing best! I hinted something of what I had in mind to your friend here when he was down at Churston, but I’ve had all my brother’s affairs to settle up and I haven’t been free until now. My idea is, M. Poirot, that we oughtn’t to let the grass grow under our feet—"
1421,hp,"Oh, come now—don’t go looking for trouble—that’s my motto! But you can’t fasten anything on me. I never went into the courtyard, and you can’t find anyone who’ll say I did."
1422,mm,"Oh, much better, my dear. In these days men age so much quicker than women. I know it used not to be said so, but actually it’s true. I mean, they get more things the matter with them. I think, perhaps, they worry and work too much. And then they get high blood pressure or low blood pressure or sometimes a little heart trouble. They’re rather prone to gastric ulcers, too. I don’t think we worry so much, you know. I think we’re a tougher sex."
1423,mm,"which was quite untrue. But post offices are careful. And, you see, I wanted to find out where it had been sent."
1424,sh,"Well, we may save the police some little trouble in that direction,"
1425,mm,"I killed a silly little tramp, an adolescent tart. Nora Broad. How did you know about her?"
1426,mm,You did not ring up Mr. Spenlow at two thirty?
1427,hp,"to the final name on our list. Hildegarde Schmidt, lady’s maid."
1428,mm,to know exactly what something wrong in the atmosphere really means.
1429,hp,"Well, I do assure you that they’re very, very interesting. What with Moscow being exactly a thousand miles due north of—now what was it?—would it be Nineveh?—but anyway you take a circle and it just shows the most surprising things—and one can just see that there must have been special guidance, and that those ancient Egyptians couldn’t have thought of what they did all by themselves. And when you’ve gone into the theory of the numbers and their repetition, why it’s all just so clear that I can’t see how anyone can doubt the truth of it for a moment."
1430,sh,"How often have I heard it in days
     gone by. It was a favorite ditty of the late lamented Professor
     Moriarty.  Colonel Sebastian Moran has also been known to warble it.
     And yet I live and keep bees upon the South Downs."
1431,mm,"I hadn’t asked anyone to post anything. The first I saw of the parcel was when Anthea passed the garden of the Golden Boar where you and I were sitting talking, carrying it."
1432,sh,"I have been on the turf for twenty
     years, and never was asked such a question as that before,"
1433,mm,"No. Verity did not want anyone to know, and I should say most certainly Mike did not want anyone to know. They were afraid of being stopped. To Verity, I think, besides love, there was also a feeling of escape. Natural, I think, owing to the circumstances of her life. She had lost her real guardians, her parents, she had entered on her new life after their death, at an age when a school girl arrives at having a ‘crush’ on someone. An attractive mistress. Anything from the games mistress to the mathematics mistress, or a prefect or an older girl. A state that does not last for very long, is merely a natural part of life. Then from that you go on to the next stage when you realize that what you want in your life is what complements yourself. A relationship between a man and a woman. You start then to look about you for a mate. The mate you want in life. And if you are wise, you take your time, you have friends, but you are looking, as the old nurses used to say to children, for Mr. Right to come along. Clotilde Bradbury-Scott was exceptionally good to Verity, and Verity, I think, gave her what I should call hero worship. She was a personality as a woman. Handsome, accomplished, interesting. I think Verity adored her in an almost romantic way and I think Clotilde came to love Verity as though she were her own daughter. And so Verity grew to maturity in an atmosphere of adoration, lived an interesting life with interesting subjects to stimulate her intellect. It was a happy life, but I think little by little she was conscious—conscious without knowing she was conscious, shall we say—of a wish to escape. Escape from being loved. To escape, she didn’t know into what or where. But she did know after she met Michael. She wanted to escape to a life where male and female come together to create the next stage of living in this world. But she knew that it was impossible to make Clotilde understand how she felt. She knew that Clotilde would be bitterly opposed to her taking her love for Michael seriously. And Clotilde, I fear, was right in her belief … I know that now. He was not a husband that Verity ought to have taken or had. The road that she started out on led not to life, not to increased living and happiness. It led to shock, pain, death. You see, Miss Marple, that I have a grave feeling of guilt. My motives were good, but I didn’t know what I ought to have known. I knew Verity, but I didn’t know Michael. I understood Verity’s wish for secrecy because I knew what a strong personality Clotilde Bradbury-Scott had. She might have had a strong enough influence over Verity to persuade her to give up the marriage."
1434,mm,I suppose they’ve lived here a long time?
1435,hp,"it is Papa Poirot who
asks you this. The old Papa Poirot who has much knowledge and much
experience. I would not seek to entrap you, mademoiselle. Will you not
trust me—and tell me where Ralph Paton is hiding?"
1436,mm,"is not what puts any girl off a boy. No. Young women like bad lots. They always have. They fall in love with bad lots. They are quite sure they can change them. And the nice, kind, steady, reliable husbands got the answer, in my young days, that one would be ‘a sister to them,’ which never satisfied them at all. Verity fell in love with Michael Rafiel, and Michael Rafiel was prepared to turn over a new leaf and marry this girl and was sure he would never wish to look at another girl again. I don’t say this would have been a happy-ever-after thing, but it was, as the Archdeacon said quite surely, it was real love. And so they planned to get married. And I think Verity wrote to Elizabeth and told her that she was going to marry Michael Rafiel. It was arranged in secret because I think Verity did realize that what she was doing was essentially an escape. She was escaping from a life that she didn’t want to live any longer, from someone whom she loved very much but not in the way she loved Michael. And she would not be allowed to do so. Permission would not be willingly given, every obstacle would be put in their way. So, like other young people, they were going to elope. There was no need for them to fly off to Gretna Green, they were of sufficiently mature age to marry. So she appealed to Archdeacon Brabazon, her old friend who had confirmed her—who was a real friend. And the wedding was arranged, the day, the time, probably even she bought secretly some garment in which to be married. They were to meet somewhere, no doubt. They were to come to the rendezvous separately. I think he came there, but she did not come. He waited perhaps. Waited and then tried to find out, perhaps, why she didn’t come. I think then a message may have been given him, even a letter sent him, possibly in her forged handwriting, saying she had changed her mind. It was all over and she was going away for a time to get over it. I don’t know. But I don’t think he ever dreamt of the real reason of why she hadn’t come, of why she had sent no word. He hadn’t thought for one moment that she had been deliberately, cruelly, almost madly perhaps, destroyed. Clotilde was not going to lose the person she loved. She was not going to let her escape, she was not going to let her go to the young man whom she herself hated and loathed. She would keep Verity, keep her in her own way. But what I could not believe was—I did not believe that she’d strangled the girl and had then disfigured her face. I don’t think she could have borne to do that. I think that she had rearranged the bricks of the fallen greenhouse and piled up earth and turf over most of it. The girl had already been given a drink, an overdose of sleeping draught probably. Grecian, as it were, in tradition. One cup of hemlock—even if it wasn’t hemlock. And she buried the girl there in the garden, piled the bricks over her and the earth and the turf—"
1437,sh,"Of course, it is a possible
     supposition that the thief has had a sudden illness--"
1438,mm,"You are a very well educated woman. Nemesis is long delayed sometimes, but it comes in the end."
1439,hp,You killed her after Miss Brewster had gone off in the boat to fetch the police. Arlena Marshall was not dead when you got to the beach. She was waiting hidden in the cave until the coast could be clear.
1440,hp,Mr. Allerton’s story is that he went to her cabin last night and exchanged a string of fake pearls for the real ones.
1441,sh,"you have drawn a net round this man from which he
     cannot escape, and you have saved an innocent human life as truly as
     if you had cut the cord which was hanging him. I see the direction in
     which all this points. The culprit is--"
1442,hp,"That is, if I’m not to go to Bexhill."
1443,mm,you wouldn’t do that. You loved her and you would not be able to do that.
1444,sh,"On the contrary, I have half a sovereign for you if you will give me
     a clear answer to my questions."
1445,sh,"It will
     require some checking and you have little time to check it. Your
     admiral may find the new guns rather larger than he expects, and the
     cruisers perhaps a trifle faster."
